time_ms,action,a,b,c
0,STATE,0,0,
291,STATE,1,200,
792,STATE,1,202,
1000,STATE,0,0,
1294,STATE,1,205,
1727,STATE,1,207,
2000,STATE,0,0,
2209,STATE,1,208,
2794,STATE,1,205,
3000,STATE,0,0,
3283,STATE,1,205,
3759,STATE,1,204,
4000,STATE,0,0,
4286,STATE,1,201,
4762,STATE,1,198,
5000,STATE,0,0,
5216,STATE,1,196,
5774,STATE,1,199,
6000,STATE,0,0,
6203,STATE,1,196,
6728,STATE,1,193,
7000,STATE,0,0,
7288,STATE,1,191,
7777,STATE,1,192,
8000,STATE,0,0,
8237,STATE,1,190,
8795,STATE,1,190,
9000,STATE,0,0,
9293,STATE,1,191,
9792,STATE,1,193,
10000,STATE,0,1,
10000,RAISE,1,1000,17000
10253,STATE,1,191,
10800,STATE,1,193,
11000,STATE,0,1,
11273,STATE,1,196,
11779,STATE,1,194,
12000,STATE,0,0,
12000,CLEAR,1,1000,17000
12211,STATE,1,193,
12725,STATE,1,194,
13000,STATE,0,0,
13227,STATE,1,196,
13779,STATE,1,197,
14000,STATE,0,0,
14260,STATE,1,200,
14732,STATE,1,202,
15000,STATE,0,0,
15236,STATE,1,200,
15796,STATE,1,201,
16000,STATE,0,0,
16258,STATE,1,202,
16724,STATE,1,204,
17000,STATE,0,0,
17267,STATE,1,203,
17705,STATE,1,203,
18000,STATE,0,0,
18218,STATE,1,201,
18753,STATE,1,202,
19000,STATE,0,0,
19232,STATE,1,199,
19761,STATE,1,198,
20000,STATE,0,0,
20212,STATE,1,201,
20784,STATE,1,203,
21000,STATE,0,0,
21211,STATE,1,202,
21762,STATE,1,204,
22000,STATE,0,0,
22215,STATE,1,205,
22798,STATE,1,208,
23000,STATE,0,0,
23212,STATE,1,210,
23749,STATE,1,209,
24000,STATE,0,0,
24202,STATE,1,210,
24761,STATE,1,211,
25000,STATE,0,0,
25279,STATE,1,211,
25748,STATE,1,214,
26000,STATE,0,0,
26293,STATE,1,214,
26733,STATE,1,216,
27000,STATE,0,0,
27208,STATE,1,214,
27756,STATE,1,217,
28000,STATE,0,0,
28205,STATE,1,216,
28782,STATE,1,215,
29000,STATE,0,0,
29201,STATE,1,216,
29730,STATE,1,217,
