time_ms,action,a,b,c
17,STATE,0,0,
33,STATE,1,0,
94,STATE,2,0,
167,STATE,3,0,
192,STATE,0,1,
244,STATE,1,1,
299,STATE,2,1,
351,STATE,3,1,
414,STATE,0,2,
463,STATE,1,2,
513,STATE,2,2,
552,STATE,3,2,
602,STATE,0,3,
634,STATE,1,3,
696,STATE,2,3,
754,STATE,3,3,
809,STATE,0,4,
843,STATE,1,4,
882,STATE,2,4,
950,STATE,3,4,
983,STATE,0,5,
1039,STATE,1,5,
1104,STATE,2,5,
1144,STATE,3,5,
1212,STATE,0,6,
1237,STATE,1,6,
1288,STATE,2,6,
1366,STATE,3,6,
1393,STATE,0,7,
1439,STATE,1,7,
1496,STATE,2,7,
1549,STATE,3,7,
1618,STATE,0,8,
1651,STATE,1,8,
1717,STATE,2,8,
1748,STATE,3,8,
1794,STATE,0,9,
1837,STATE,1,9,
1919,STATE,2,9,
1948,STATE,3,9,
1998,STATE,0,10,
2053,STATE,1,10,
2103,STATE,2,10,
2163,STATE,3,10,
2211,STATE,0,11,
2231,STATE,1,11,
2309,STATE,2,11,
2357,STATE,3,11,
2393,STATE,0,12,
2458,STATE,1,12,
2519,STATE,2,12,
2540,STATE,3,12,
2601,STATE,0,13,
2642,STATE,1,13,
2696,STATE,2,13,
2739,STATE,3,13,
2808,STATE,0,14,
2853,STATE,1,14,
2883,STATE,2,14,
2930,STATE,3,14,
2984,STATE,0,15,
3062,STATE,1,15,
3109,STATE,2,15,
3154,STATE,3,15,
3196,STATE,0,16,
3270,STATE,1,16,
3284,RAISE,5,1000,10000
3299,STATE,2,16,
3336,STATE,3,16,
3392,STATE,0,17,
3465,STATE,1,17,
3485,STATE,2,17,
3563,STATE,3,17,
3590,STATE,0,18,
3643,STATE,1,18,
3691,STATE,2,18,
3757,STATE,3,18,
3785,STATE,0,19,
3838,STATE,1,19,
3881,STATE,2,19,
3941,STATE,3,19,
4008,STATE,0,20,
4059,STATE,1,20,
4103,STATE,2,20,
4146,STATE,3,20,
4214,STATE,0,21,
4264,STATE,1,21,
4310,STATE,2,21,
4343,STATE,3,21,
4403,STATE,0,22,
4465,STATE,1,22,
4482,STATE,2,22,
4543,RAISE,6,1000,10000
4558,STATE,3,22,
4592,STATE,0,23,
4650,STATE,1,23,
4662,CLEAR,5,1000,10000
4704,STATE,2,23,
4761,STATE,3,23,
4810,STATE,0,24,
4849,STATE,1,24,
4882,STATE,2,24,
4966,STATE,3,24,
5000,STATE,0,25,
5049,STATE,1,25,
5102,STATE,2,25,
5143,STATE,3,25,
5195,STATE,0,26,
5246,STATE,1,26,
5273,CLEAR,6,1000,10000
5283,STATE,2,26,
5338,STATE,3,26,
5420,STATE,0,27,
5445,STATE,1,27,
5494,STATE,2,27,
5536,STATE,3,27,
5605,STATE,0,28,
5657,STATE,1,28,
5680,STATE,2,28,
5735,STATE,3,28,
5807,STATE,0,29,
5843,STATE,1,29,
5904,STATE,2,29,
5956,STATE,3,29,
5993,STATE,0,30,
6059,STATE,1,30,
6088,STATE,2,30,
6155,STATE,3,30,
6184,STATE,0,31,
6249,STATE,1,31,
6311,STATE,2,31,
6330,STATE,3,31,
6407,STATE,0,32,
6432,STATE,1,32,
6505,STATE,2,32,
6549,STATE,3,32,
6609,STATE,0,33,
6645,STATE,1,33,
6686,STATE,2,33,
6741,STATE,3,33,
6799,STATE,0,34,
6833,STATE,1,34,
6891,STATE,2,34,
6969,STATE,3,34,
6993,STATE,0,35,
7067,STATE,1,35,
7106,STATE,2,35,
7138,STATE,3,35,
7187,STATE,0,36,
7251,STATE,1,36,
7308,STATE,2,36,
7362,STATE,3,36,
7419,STATE,0,37,
7458,STATE,1,37,
7497,STATE,2,37,
7568,STATE,3,37,
7601,STATE,0,38,
7658,STATE,1,38,
7703,STATE,2,38,
7755,STATE,3,38,
7797,STATE,0,39,
7833,STATE,1,39,
7893,STATE,2,39,
7933,STATE,3,39,
8005,STATE,0,40,
8047,STATE,1,40,
8118,STATE,2,40,
8169,STATE,3,40,
8204,STATE,0,41,
8265,STATE,1,41,
8298,STATE,2,41,
8352,STATE,3,41,
8394,STATE,0,42,
8443,STATE,1,42,
8505,STATE,2,42,
8569,STATE,3,42,
8607,STATE,0,43,
8632,STATE,1,43,
8688,STATE,2,43,
8735,STATE,3,43,
8784,STATE,0,44,
8859,STATE,1,44,
8890,STATE,2,44,
8941,STATE,3,44,
9005,STATE,0,45,
9069,STATE,1,45,
9113,STATE,2,45,
9143,STATE,3,45,
9206,STATE,0,46,
9233,STATE,1,46,
9311,STATE,2,46,
9365,STATE,3,46,
9380,STATE,0,47,
9430,STATE,1,47,
9499,STATE,2,47,
9549,STATE,3,47,
9609,STATE,0,48,
9656,STATE,1,48,
9694,STATE,2,48,
9730,STATE,3,48,
9793,STATE,0,49,
9858,STATE,1,49,
9906,STATE,2,49,
9941,STATE,3,49,
10014,STATE,0,50,
10047,STATE,1,50,
10113,STATE,2,50,
10133,STATE,3,50,
10186,STATE,0,51,
10269,STATE,1,51,
10282,STATE,2,51,
10354,STATE,3,51,
10402,STATE,0,52,
10439,STATE,1,52,
10483,STATE,2,52,
10553,STATE,3,52,
10581,STATE,0,53,
10661,STATE,1,53,
10713,STATE,2,53,
10762,STATE,3,53,
10803,STATE,0,54,
10870,STATE,1,54,
10886,STATE,2,54,
10942,STATE,3,54,
11003,STATE,0,55,
11033,STATE,1,55,
11080,STATE,2,55,
