time_ms,action,a,b,c
0,STATE,0,0,
152,STATE,1,0,
257,STATE,2,0,
325,STATE,3,0,
536,STATE,0,1,
630,STATE,1,1,
724,STATE,2,1,
857,STATE,3,1,
1028,STATE,0,2,
1125,STATE,1,2,
1284,STATE,2,2,
1360,STATE,3,2,
1495,STATE,0,3,
1592,STATE,1,3,
1720,STATE,2,3,
1877,STATE,3,3,
1971,STATE,0,4,
2096,STATE,1,4,
2228,STATE,2,4,
2353,STATE,3,4,
2520,STATE,0,5,
2621,STATE,1,5,
2766,STATE,2,5,
2848,STATE,3,5,
3041,STATE,0,6,
3101,STATE,1,6,
3253,STATE,2,6,
3408,STATE,3,6,
3534,STATE,0,7,
3584,STATE,1,7,
3603,RAISE,10,1000,10000
3717,STATE,2,7,
3879,STATE,3,7,
4017,CLEAR,10,1000,10000
4027,STATE,0,8,
4150,STATE,1,8,
4218,STATE,2,8,
4252,RAISE,8,1000,10000
4414,STATE,3,8,
4473,STATE,0,9,
4605,STATE,1,9,
4776,STATE,2,9,
4829,CLEAR,8,1000,10000
4855,STATE,3,9,
4999,STATE,0,10,
5155,STATE,1,10,
5261,STATE,2,10,
5415,STATE,3,10,
5487,STATE,0,11,
5612,STATE,1,11,
5768,STATE,2,11,
5845,STATE,3,11,
6029,STATE,0,12,
6130,STATE,1,12,
6229,STATE,2,12,
6312,RAISE,6,1000,10000
6334,STATE,3,12,
6504,STATE,0,13,
6591,STATE,1,13,
6701,STATE,2,13,
6906,STATE,3,13,
7022,STATE,0,14,
7146,STATE,1,14,
7210,STATE,2,14,
7340,STATE,3,14,
7476,CLEAR,6,1000,10000
7524,STATE,0,15,
7653,STATE,1,15,
7730,STATE,2,15,
7885,STATE,3,15,
7955,STATE,0,16,
8131,STATE,1,16,
8249,STATE,2,16,
8339,STATE,3,16,
8542,STATE,0,17,
8660,STATE,1,17,
8735,STATE,2,17,
8845,STATE,3,17,
9017,STATE,0,18,
9173,STATE,1,18,
9219,STATE,2,18,
9319,RAISE,7,1000,10000
9360,STATE,3,18,
9427,RAISE,3,1000,10000
9511,RAISE,9,1000,10000
9519,STATE,0,19,
9609,STATE,1,19,
9714,STATE,2,19,
9913,STATE,3,19,
10029,STATE,0,20,
10077,CLEAR,7,1000,10000
10115,STATE,1,20,
10215,STATE,2,20,
10424,STATE,3,20,
10545,STATE,0,21,
10656,STATE,1,21,
10664,CLEAR,3,1000,10000
10799,STATE,2,21,
10844,CLEAR,9,1000,10000
10845,STATE,3,21,
11016,STATE,0,22,
11170,STATE,1,22,
11219,STATE,2,22,
11418,STATE,3,22,
11473,STATE,0,23,
11635,STATE,1,23,
11700,STATE,2,23,
11848,STATE,3,23,
12044,STATE,0,24,
12156,STATE,1,24,
12253,STATE,2,24,
12425,STATE,3,24,
12498,STATE,0,25,
12643,STATE,1,25,
12735,STATE,2,25,
12832,STATE,3,25,
13006,STATE,0,26,
13132,STATE,1,26,
13240,STATE,2,26,
13413,STATE,3,26,
13479,STATE,0,27,
13655,STATE,1,27,
13734,STATE,2,27,
13849,STATE,3,27,
14015,STATE,0,28,
14140,STATE,1,28,
14293,STATE,2,28,
14410,STATE,3,28,
14466,STATE,0,29,
14662,STATE,1,29,
14756,STATE,2,29,
14843,STATE,3,29,
14960,STATE,0,30,
15101,STATE,1,30,
15253,STATE,2,30,
15342,STATE,3,30,
15456,STATE,0,31,
15587,RAISE,2,1000,10000
15625,STATE,1,31,
15795,STATE,2,31,
15850,CLEAR,2,1000,10000
15882,STATE,3,31,
16038,STATE,0,32,
16106,STATE,1,32,
16231,STATE,2,32,
16415,STATE,3,32,
16473,STATE,0,33,
16670,STATE,1,33,
16755,STATE,2,33,
16755,RAISE,4,1000,10000
16902,STATE,3,33,
17027,STATE,0,34,
17101,STATE,1,34,
17224,STATE,2,34,
17376,STATE,3,34,
17523,STATE,0,35,
17651,STATE,1,35,
17787,STATE,2,35,
17886,STATE,3,35,
18006,STATE,0,36,
18094,CLEAR,4,1000,10000
18150,STATE,1,36,
18238,STATE,2,36,
18419,STATE,3,36,
18514,STATE,0,37,
18644,STATE,1,37,
18795,STATE,2,37,
18834,STATE,3,37,
18978,STATE,0,38,
19154,STATE,1,38,
19287,STATE,2,38,
19290,RAISE,1,1000,10000
19422,STATE,3,38,
19541,STATE,0,39,
19595,STATE,1,39,
19725,STATE,2,39,
19868,STATE,3,39,
19904,CLEAR,1,1000,10000
19983,RAISE,5,1000,10000
20017,STATE,0,40,
20143,STATE,1,40,
20202,STATE,2,40,
20394,STATE,3,40,
20517,STATE,0,41,
20622,STATE,1,41,
20759,STATE,2,41,
20842,STATE,3,41,
20968,STATE,0,42,
21142,STATE,1,42,
21224,STATE,2,42,
21384,STATE,3,42,
21408,CLEAR,5,1000,10000
21512,STATE,0,43,
21581,STATE,1,43,
21800,STATE,2,43,
21925,STATE,3,43,
22029,STATE,0,44,
22125,STATE,1,44,
22259,STATE,2,44,
22383,STATE,3,44,
22502,STATE,0,45,
22590,STATE,1,45,
22773,STATE,2,45,
22912,STATE,3,45,
23030,STATE,0,46,
23135,STATE,1,46,
23226,STATE,2,46,
23356,STATE,3,46,
23511,STATE,0,47,
23597,STATE,1,47,
23782,STATE,2,47,
23842,STATE,3,47,
24035,STATE,0,48,
24114,STATE,1,48,
24294,STATE,2,48,
24416,STATE,3,48,
24458,STATE,0,49,
24584,STATE,1,49,
24729,STATE,2,49,
24826,STATE,3,49,
24981,STATE,0,50,
25174,STATE,1,50,
25233,STATE,2,50,
25358,STATE,3,50,
25528,STATE,0,51,
25641,STATE,1,51,
25711,STATE,2,51,
25899,STATE,3,51,
25961,STATE,0,52,
26124,STATE,1,52,
26221,STATE,2,52,
26360,STATE,3,52,
26492,STATE,0,53,
26667,STATE,1,53,
26791,STATE,2,53,
26896,STATE,3,53,
26998,STATE,0,54,
27107,STATE,1,54,
27249,STATE,2,54,
27344,STATE,3,54,
27538,STATE,0,55,
27628,STATE,1,55,
27785,STATE,2,55,
27886,STATE,3,55,
27974,STATE,0,56,
28162,STATE,1,56,
28297,STATE,2,56,
28350,STATE,3,56,
28515,STATE,0,57,
28597,STATE,1,57,
28787,STATE,2,57,
28833,STATE,3,57,
29004,STATE,0,58,
29102,STATE,1,58,
29260,STATE,2,58,
29336,STATE,3,58,
29545,STATE,0,59,
29615,STATE,1,59,
29717,STATE,2,59,
29922,STATE,3,59,
