time_ms,action,a,b,c
8,STATE,0,0,
17,STATE,1,0,
31,STATE,2,0,
47,STATE,3,0,
55,STATE,4,0,
55,STATE,5,0,
65,STATE,6,0,
86,STATE,7,0,
96,STATE,0,1,
108,STATE,1,1,
115,STATE,2,1,
141,STATE,4,1,
144,STATE,3,1,
161,STATE,5,1,
181,STATE,6,1,
189,STATE,7,1,
207,STATE,0,2,
210,STATE,1,2,
224,STATE,2,2,
244,STATE,3,2,
254,STATE,4,2,
266,STATE,5,2,
280,STATE,6,2,
287,STATE,7,2,
301,STATE,0,3,
302,STATE,1,3,
335,STATE,2,3,
340,STATE,3,3,
342,STATE,4,3,
362,STATE,5,3,
380,STATE,6,3,
384,STATE,7,3,
404,STATE,0,4,
408,STATE,1,4,
433,STATE,2,4,
442,STATE,3,4,
453,STATE,4,4,
459,STATE,5,4,
474,STATE,6,4,
491,STATE,0,5,
492,STATE,7,4,
512,STATE,1,5,
527,STATE,2,5,
535,STATE,3,5,
544,STATE,4,5,
561,STATE,5,5,
577,STATE,6,5,
591,STATE,7,5,
603,STATE,1,6,
606,STATE,0,6,
617,STATE,2,6,
636,STATE,3,6,
647,STATE,4,6,
659,STATE,5,6,
670,STATE,6,6,
685,STATE,7,6,
696,STATE,0,7,
709,STATE,1,7,
729,STATE,2,7,
740,STATE,4,7,
743,STATE,3,7,
763,STATE,5,7,
778,STATE,6,7,
794,STATE,7,7,
809,STATE,0,8,
811,STATE,1,8,
825,STATE,2,8,
830,STATE,3,8,
850,STATE,4,8,
866,STATE,5,8,
878,STATE,7,8,
882,STATE,6,8,
897,STATE,0,9,
918,STATE,1,9,
918,STATE,2,9,
944,STATE,3,9,
949,STATE,4,9,
965,STATE,5,9,
969,STATE,6,9,
992,STATE,7,9,
999,STATE,0,10,
1010,STATE,1,10,
1027,STATE,2,10,
1028,STATE,3,10,
1048,STATE,4,10,
1067,STATE,5,10,
1067,STATE,6,10,
1091,STATE,7,10,
1103,STATE,1,11,
1105,STATE,0,11,
1127,STATE,2,11,
1142,STATE,3,11,
1157,STATE,4,11,
1164,STATE,5,11,
1171,STATE,6,11,
1194,STATE,7,11,
1196,STATE,0,12,
1214,STATE,1,12,
1227,STATE,2,12,
1228,STATE,3,12,
1259,STATE,4,12,
1263,STATE,5,12,
1266,STATE,6,12,
1277,STATE,7,12,
1300,STATE,0,13,
1306,STATE,1,13,
1325,STATE,2,13,
1334,STATE,3,13,
1347,STATE,4,13,
1353,STATE,5,13,
1365,STATE,6,13,
1383,STATE,7,13,
1404,STATE,0,14,
1410,STATE,1,14,
1428,STATE,2,14,
1438,STATE,3,14,
1451,STATE,4,14,
1467,STATE,5,14,
1470,STATE,6,14,
1484,STATE,7,14,
1492,STATE,0,15,
1517,STATE,2,15,
1520,STATE,1,15,
1537,STATE,3,15,
1546,STATE,4,15,
1569,STATE,5,15,
1582,STATE,6,15,
1588,STATE,7,15,
1598,STATE,0,16,
1622,STATE,1,16,
1633,STATE,2,16,
1646,STATE,3,16,
1652,STATE,4,16,
1657,STATE,5,16,
1668,STATE,6,16,
1687,STATE,7,16,
1696,STATE,0,17,
1718,STATE,2,17,
1721,STATE,1,17,
1734,STATE,3,17,
1757,STATE,4,17,
1764,STATE,5,17,
1777,STATE,7,17,
1785,STATE,6,17,
1795,STATE,0,18,
1813,STATE,1,18,
1823,STATE,2,18,
1841,STATE,3,18,
1843,STATE,4,18,
1855,STATE,5,18,
1880,STATE,6,18,
1884,STATE,7,18,
1892,STATE,0,19,
1916,STATE,1,19,
1924,STATE,2,19,
1935,STATE,3,19,
1950,STATE,4,19,
1967,STATE,5,19,
1979,STATE,6,19,
1985,STATE,7,19,
2004,STATE,0,20,
2021,STATE,1,20,
2032,STATE,2,20,
2035,STATE,3,20,
2050,STATE,4,20,
2062,STATE,5,20,
2068,STATE,6,20,
2078,STATE,7,20,
2107,STATE,0,21,
2110,STATE,1,21,
2130,STATE,2,21,
2137,STATE,3,21,
2155,STATE,5,21,
2156,STATE,4,21,
2169,STATE,6,21,
2179,STATE,7,21,
2201,STATE,0,22,
2203,STATE,1,22,
2217,STATE,2,22,
2241,STATE,3,22,
2258,STATE,4,22,
2266,STATE,5,22,
2274,STATE,6,22,
2296,STATE,0,23,
2296,STATE,7,22,
2316,STATE,1,23,
2328,STATE,2,23,
2338,STATE,3,23,
2340,STATE,4,23,
2371,STATE,5,23,
2379,STATE,6,23,
2382,STATE,7,23,
2405,STATE,0,24,
2411,STATE,1,24,
2421,STATE,2,24,
2444,STATE,3,24,
2451,STATE,4,24,
2462,STATE,5,24,
2472,STATE,6,24,
2478,STATE,7,24,
2500,STATE,0,25,
2504,STATE,1,25,
2519,STATE,2,25,
2541,STATE,3,25,
2559,STATE,5,25,
2560,STATE,4,25,
2568,STATE,6,25,
2584,STATE,7,25,
2597,STATE,0,26,
2607,STATE,1,26,
2615,STATE,2,26,
2628,STATE,3,26,
2657,STATE,4,26,
2660,STATE,5,26,
2669,STATE,6,26,
2682,STATE,7,26,
2702,STATE,1,27,
2710,STATE,0,27,
2722,STATE,2,27,
2743,STATE,3,27,
2753,STATE,4,27,
2765,STATE,5,27,
2785,STATE,6,27,
2797,STATE,7,27,
2802,STATE,0,28,
2813,STATE,1,28,
2830,STATE,2,28,
2838,STATE,3,28,
2847,STATE,4,28,
2860,STATE,5,28,
2872,STATE,6,28,
2889,STATE,7,28,
2903,STATE,0,29,
2917,STATE,1,29,
2920,STATE,2,29,
2944,STATE,3,29,
2950,STATE,4,29,
2958,STATE,5,29,
2980,STATE,6,29,
2989,STATE,7,29,
2996,STATE,0,30,
3003,STATE,1,30,
3018,STATE,2,30,
3045,STATE,3,30,
3050,STATE,4,30,
3057,STATE,5,30,
3077,STATE,6,30,
3086,STATE,7,30,
3092,STATE,0,31,
3114,STATE,1,31,
3117,STATE,2,31,
3139,STATE,3,31,
3140,STATE,4,31,
3154,STATE,5,31,
3179,STATE,6,31,
3194,STATE,7,31,
3203,STATE,0,32,
3203,STATE,1,32,
3210,RAISE,1,400,3000
3231,STATE,2,32,
3231,STATE,3,32,
3249,STATE,4,32,
