time_ms,action,a,b,c
25,STATE,0,0,
147,STATE,1,0,
236,STATE,2,0,
329,STATE,3,0,
494,STATE,0,1,
628,STATE,1,1,
727,STATE,2,1,
896,STATE,3,1,
1024,STATE,0,2,
1120,STATE,1,2,
1230,STATE,2,2,
1336,STATE,3,2,
1463,STATE,0,3,
1612,STATE,1,3,
1796,STATE,2,3,
1869,STATE,3,3,
1950,STATE,0,4,
2165,STATE,1,4,
2215,STATE,2,4,
2419,STATE,3,4,
2489,STATE,0,5,
2608,STATE,1,5,
2746,STATE,2,5,
2836,STATE,3,5,
3017,STATE,0,6,
3147,STATE,1,6,
3223,STATE,2,6,
3412,STATE,3,6,
3548,STATE,0,7,
3591,STATE,1,7,
3789,STATE,2,7,
3865,STATE,3,7,
4023,STATE,0,8,
4089,STATE,1,8,
4266,STATE,2,8,
4422,STATE,3,8,
4492,STATE,0,9,
4645,STATE,1,9,
4727,STATE,2,9,
4911,STATE,3,9,
4987,STATE,0,10,
5100,RAISE,1,2000,8000
5136,STATE,1,10,
5200,RAISE,2,2000,8000
5279,STATE,2,10,
5300,RAISE,3,2000,8000
5381,STATE,3,10,
5400,RAISE,4,2000,8000
5470,STATE,0,11,
5500,RAISE,5,2000,8000
5600,RAISE,6,2000,8000
5675,STATE,1,11,
5700,RAISE,7,2000,8000
5734,STATE,2,11,
5800,RAISE,8,2000,8000
5881,STATE,3,11,
5900,RAISE,9,2000,8000
5994,STATE,0,12,
6000,RAISE,10,2000,8000
6100,RAISE,11,2000,8000
6125,STATE,1,12,
6200,RAISE,12,2000,8000
6235,STATE,2,12,
6300,RAISE,13,2000,8000
6385,STATE,3,12,
6400,RAISE,14,2000,8000
6471,STATE,0,13,
6500,RAISE,15,2000,8000
6600,RAISE,16,2000,8000
6620,STATE,1,13,
6700,RAISE,17,2000,8000
6715,STATE,2,13,
6800,RAISE,18,2000,8000
6900,RAISE,19,2000,8000
6908,STATE,3,13,
7000,RAISE,20,2000,8000
7046,STATE,0,14,
7149,STATE,1,14,
7262,STATE,2,14,
7386,STATE,3,14,
7468,STATE,0,15,
7673,STATE,1,15,
7787,STATE,2,15,
7847,STATE,3,15,
7962,STATE,0,16,
8076,STATE,1,16,
8267,STATE,2,16,
8385,STATE,3,16,
8534,STATE,0,17,
8645,STATE,1,17,
8768,STATE,2,17,
8825,STATE,3,17,
9000,STATE,0,18,
9099,STATE,1,18,
9260,STATE,2,18,
9328,STATE,3,18,
9494,STATE,0,19,
9601,STATE,1,19,
9797,STATE,2,19,
9905,STATE,3,19,
9971,STATE,0,20,
10082,STATE,1,20,
10201,STATE,2,20,
10342,STATE,3,20,
10505,STATE,0,21,
10653,STATE,1,21,
10776,STATE,2,21,
10863,STATE,3,21,
11028,STATE,0,22,
11098,STATE,1,22,
11221,STATE,2,22,
11382,STATE,3,22,
11499,STATE,0,23,
11615,STATE,1,23,
11788,STATE,2,23,
11918,STATE,3,23,
12008,STATE,0,24,
12172,STATE,1,24,
12218,STATE,2,24,
12347,STATE,3,24,
12513,STATE,0,25,
12667,STATE,1,25,
12797,STATE,2,25,
12848,STATE,3,25,
13000,CLEAR,1,2000,8000
13036,STATE,0,26,
13100,CLEAR,2,2000,8000
13129,STATE,1,26,
13200,CLEAR,3,2000,8000
13226,STATE,2,26,
13300,CLEAR,4,2000,8000
13397,STATE,3,26,
13400,CLEAR,5,2000,8000
13479,STATE,0,27,
13500,CLEAR,6,2000,8000
13600,CLEAR,7,2000,8000
13632,STATE,1,27,
13700,CLEAR,8,2000,8000
13773,STATE,2,27,
13800,CLEAR,9,2000,8000
13856,STATE,3,27,
13900,CLEAR,10,2000,8000
14000,CLEAR,11,2000,8000
14040,STATE,0,28,
14100,CLEAR,12,2000,8000
14174,STATE,1,28,
14200,CLEAR,13,2000,8000
14288,STATE,2,28,
14300,CLEAR,14,2000,8000
14334,STATE,3,28,
14400,CLEAR,15,2000,8000
14473,STATE,0,29,
14500,CLEAR,16,2000,8000
14600,CLEAR,17,2000,8000
14649,STATE,1,29,
14700,CLEAR,18,2000,8000
14706,STATE,2,29,
14800,CLEAR,19,2000,8000
14900,CLEAR,20,2000,8000
14914,STATE,3,29,
15028,STATE,0,30,
15139,STATE,1,30,
15282,STATE,2,30,
15328,STATE,3,30,
15489,STATE,0,31,
15596,STATE,1,31,
15795,STATE,2,31,
15871,STATE,3,31,
16017,STATE,0,32,
16159,STATE,1,32,
16256,STATE,2,32,
16351,STATE,3,32,
16482,STATE,0,33,
16579,STATE,1,33,
16741,STATE,2,33,
16873,STATE,3,33,
16957,STATE,0,34,
17084,STATE,1,34,
17296,STATE,2,34,
17401,STATE,3,34,
17491,STATE,0,35,
17664,STATE,1,35,
17730,STATE,2,35,
17912,STATE,3,35,
18029,STATE,0,36,
18156,STATE,1,36,
18284,STATE,2,36,
18329,STATE,3,36,
18464,STATE,0,37,
18584,STATE,1,37,
18799,STATE,2,37,
18917,STATE,3,37,
18995,STATE,0,38,
19120,STATE,1,38,
19244,STATE,2,38,
19378,STATE,3,38,
19542,STATE,0,39,
19648,STATE,1,39,
19744,STATE,2,39,
19836,STATE,3,39,
20047,STATE,0,40,
20114,STATE,1,40,
20246,STATE,2,40,
20394,STATE,3,40,
20536,STATE,0,41,
20609,STATE,1,41,
20701,STATE,2,41,
20882,STATE,3,41,
20973,STATE,0,42,
21159,STATE,1,42,
21224,STATE,2,42,
21419,STATE,3,42,
21544,STATE,0,43,
21605,STATE,1,43,
21741,STATE,2,43,
21922,STATE,3,43,
22000,STATE,0,44,
22158,STATE,1,44,
22282,STATE,2,44,
22420,STATE,3,44,
22518,STATE,0,45,
22621,STATE,1,45,
22749,STATE,2,45,
22882,STATE,3,45,
23014,STATE,0,46,
23127,STATE,1,46,
23243,STATE,2,46,
23390,STATE,3,46,
23522,STATE,0,47,
23613,STATE,1,47,
23782,STATE,2,47,
23834,STATE,3,47,
24047,STATE,0,48,
24085,STATE,1,48,
24213,STATE,2,48,
24425,STATE,3,48,
24530,STATE,0,49,
24589,STATE,1,49,
24729,STATE,2,49,
24873,STATE,3,49,
25030,STATE,0,50,
25088,STATE,1,50,
25231,STATE,2,50,
25332,STATE,3,50,
25512,STATE,0,51,
25637,STATE,1,51,
25733,STATE,2,51,
25919,STATE,3,51,
26029,STATE,0,52,
26096,STATE,1,52,
26210,STATE,2,52,
26403,STATE,3,52,
26515,STATE,0,53,
26630,STATE,1,53,
26735,STATE,2,53,
26870,STATE,3,53,
26998,STATE,0,54,
27154,STATE,1,54,
27208,STATE,2,54,
27403,STATE,3,54,
27525,STATE,0,55,
27618,STATE,1,55,
27799,STATE,2,55,
27902,STATE,3,55,
27986,STATE,0,56,
28086,STATE,1,56,
28284,STATE,2,56,
28416,STATE,3,56,
28516,STATE,0,57,
28606,STATE,1,57,
28727,STATE,2,57,
28898,STATE,3,57,
29039,STATE,0,58,
29172,STATE,1,58,
29204,STATE,2,58,
29411,STATE,3,58,
29465,STATE,0,59,
29580,STATE,1,59,
29787,STATE,2,59,
29884,STATE,3,59,
