time_ms,action,a,b,c
9,STATE,0,0,
64,STATE,1,0,
115,STATE,2,0,
194,STATE,3,0,
243,STATE,0,1,
300,STATE,1,1,
385,STATE,2,1,
440,STATE,3,1,
484,STATE,0,2,
563,STATE,1,2,
626,STATE,2,2,
675,STATE,3,2,
768,STATE,0,3,
832,STATE,1,3,
888,STATE,2,3,
957,STATE,3,3,
987,STATE,0,4,
1046,STATE,1,4,
1125,STATE,2,4,
1198,STATE,3,4,
1254,STATE,0,5,
1293,STATE,1,5,
1383,STATE,2,5,
1442,STATE,3,5,
1509,STATE,0,6,
1581,STATE,1,6,
1640,STATE,2,6,
1678,STATE,3,6,
1751,STATE,0,7,
1816,STATE,1,7,
1872,STATE,2,7,
1945,STATE,3,7,
1987,STATE,0,8,
2082,STATE,1,8,
2107,STATE,2,8,
2184,STATE,3,8,
2261,STATE,0,9,
2302,STATE,1,9,
2364,STATE,2,9,
2432,STATE,3,9,
2485,STATE,0,10,
2568,STATE,1,10,
2636,STATE,2,10,
2667,STATE,3,10,
2738,STATE,0,11,
2819,STATE,1,11,
2865,STATE,2,11,
2936,STATE,3,11,
2994,STATE,0,12,
3060,STATE,1,12,
3131,STATE,2,12,
3176,STATE,3,12,
3267,STATE,0,13,
3310,STATE,1,13,
3355,STATE,2,13,
3424,STATE,3,13,
3481,STATE,0,14,
3580,STATE,1,14,
3622,STATE,2,14,
3703,STATE,3,14,
3732,STATE,0,15,
3826,STATE,1,15,
3895,STATE,2,15,
3936,STATE,3,15,
3994,STATE,0,16,
4062,STATE,1,16,
4145,STATE,2,16,
4179,STATE,3,16,
4236,STATE,0,17,
4318,STATE,1,17,
4377,STATE,2,17,
4454,STATE,3,17,
4488,STATE,0,18,
4558,STATE,1,18,
4632,STATE,2,18,
4668,STATE,3,18,
4768,STATE,0,19,
4809,STATE,1,19,
4861,STATE,2,19,
4922,STATE,3,19,
5000,RAISE,1,200,1000
5008,RAISE,2,200,1000
5013,STATE,0,20,
5016,RAISE,3,200,1000
5024,RAISE,4,200,1000
5032,RAISE,5,200,1000
5040,RAISE,6,200,1000
5048,RAISE,7,200,1000
5056,RAISE,8,200,1000
5064,RAISE,9,200,1000
5072,RAISE,10,200,1000
5075,STATE,1,20,
5080,RAISE,11,200,1000
5088,RAISE,12,200,1000
5096,RAISE,13,200,1000
5104,RAISE,14,200,1000
5112,RAISE,15,200,1000
